,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,P>0
1|subject_id[137],-0.889,0.269,-1.409,-0.366,0.007,0.005,1413.0,1413.0,1408.0,3734.0,1.0,
1|subject_id[138],0.605,0.282,0.046,1.151,0.007,0.005,1599.0,1599.0,1602.0,3731.0,1.0,
1|subject_id[139],-1.121,0.291,-1.696,-0.56,0.007,0.005,1767.0,1767.0,1765.0,4052.0,1.0,
1|subject_id[140],2.569,0.424,1.784,3.422,0.007,0.005,3244.0,3244.0,3200.0,5586.0,1.0,
1|subject_id[141],0.756,0.244,0.259,1.212,0.007,0.005,1235.0,1235.0,1237.0,3618.0,1.0,
1|subject_id[142],-0.182,0.29,-0.76,0.37,0.007,0.005,1783.0,1783.0,1783.0,3999.0,1.0,
1|subject_id[143],4.172,0.741,2.782,5.663,0.01,0.007,5873.0,5662.0,5960.0,5432.0,1.0,
1|subject_id[144],-0.635,0.298,-1.215,-0.056,0.007,0.005,1802.0,1802.0,1796.0,4070.0,1.0,
1|subject_id[145],-0.228,0.26,-0.731,0.274,0.007,0.005,1400.0,1400.0,1400.0,3264.0,1.0,
1|subject_id[146],1.552,0.36,0.868,2.281,0.007,0.005,2499.0,2499.0,2455.0,4063.0,1.0,
1|subject_id[147],-1.198,0.295,-1.784,-0.631,0.007,0.005,1635.0,1635.0,1641.0,5254.0,1.0,
1|subject_id[148],-0.533,0.218,-0.965,-0.12,0.007,0.005,1049.0,1049.0,1050.0,3100.0,1.0,
1|subject_id[149],0.162,0.291,-0.387,0.743,0.007,0.005,1820.0,1820.0,1819.0,4204.0,1.0,
1|subject_id[150],-1.881,0.307,-2.488,-1.289,0.007,0.005,2018.0,2018.0,1993.0,4638.0,1.0,
1|subject_id[151],-1.012,0.241,-1.48,-0.538,0.007,0.005,1133.0,1133.0,1136.0,2288.0,1.0,
1|subject_id[152],2.124,0.371,1.418,2.852,0.007,0.005,2677.0,2677.0,2683.0,5750.0,1.0,
1|subject_id[153],0.183,0.283,-0.365,0.745,0.007,0.005,1729.0,1729.0,1735.0,3436.0,1.0,
1|subject_id[154],-0.659,0.245,-1.161,-0.199,0.007,0.005,1202.0,1202.0,1202.0,2959.0,1.0,
1|subject_id[155],-2.55,0.352,-3.223,-1.848,0.007,0.005,2559.0,2559.0,2544.0,5107.0,1.0,
1|subject_id[156],-1.368,0.319,-1.96,-0.723,0.007,0.005,1857.0,1857.0,1834.0,4459.0,1.0,
1|subject_id[157],-0.936,0.305,-1.515,-0.337,0.007,0.005,1984.0,1984.0,1994.0,4328.0,1.0,
1|subject_id[158],0.168,0.237,-0.313,0.618,0.007,0.005,1177.0,1177.0,1177.0,3185.0,1.0,
1|subject_id[159],-0.495,0.279,-1.048,0.044,0.007,0.005,1408.0,1408.0,1409.0,3721.0,1.0,
1|subject_id[160],0.398,0.254,-0.114,0.866,0.007,0.005,1259.0,1259.0,1258.0,3346.0,1.0,
1|subject_id[161],-2.306,0.345,-2.949,-1.62,0.007,0.005,2129.0,2129.0,2110.0,5161.0,1.0,
1|subject_id[162],0.512,0.241,0.038,0.98,0.007,0.005,1294.0,1294.0,1294.0,3556.0,1.0,
1|subject_id[163],-0.537,0.247,-1.048,-0.074,0.007,0.005,1258.0,1258.0,1256.0,2638.0,1.0,
1|subject_id[164],3.351,0.571,2.248,4.448,0.008,0.006,5418.0,5265.0,5448.0,5318.0,1.0,
1|subject_id[165],-0.636,0.272,-1.169,-0.107,0.007,0.005,1508.0,1508.0,1507.0,4031.0,1.0,
1|subject_id[166],-0.61,0.224,-1.047,-0.17,0.007,0.005,1147.0,1147.0,1148.0,3255.0,1.0,
1|subject_id[167],-2.487,0.4,-3.293,-1.747,0.008,0.006,2622.0,2622.0,2598.0,4792.0,1.0,
1|subject_id[168],0.817,0.29,0.254,1.388,0.007,0.005,1844.0,1808.0,1853.0,4179.0,1.0,
1|subject_id[169],-0.828,0.271,-1.386,-0.328,0.007,0.005,1514.0,1514.0,1509.0,4004.0,1.0,
1|subject_id[170],-2.386,0.403,-3.175,-1.598,0.007,0.005,3512.0,3504.0,3527.0,5284.0,1.0,
1|subject_id[171],4.186,0.771,2.73,5.735,0.012,0.009,4284.0,4038.0,4682.0,4399.0,1.0,
1|subject_id[172],-0.499,0.251,-0.977,0.002,0.007,0.005,1247.0,1247.0,1248.0,3345.0,1.0,
1|subject_id[173],1.188,0.3,0.616,1.793,0.007,0.005,1950.0,1950.0,1946.0,4679.0,1.0,
1|subject_id[174],-0.875,0.287,-1.424,-0.302,0.007,0.005,1525.0,1525.0,1523.0,3507.0,1.0,
1|subject_id[175],2.859,0.463,1.967,3.778,0.007,0.005,4098.0,4098.0,4047.0,4996.0,1.0,
1|subject_id[176],0.157,0.275,-0.375,0.687,0.007,0.005,1429.0,1429.0,1434.0,3507.0,1.0,
1|subject_id[177],-1.04,0.247,-1.52,-0.56,0.007,0.005,1272.0,1272.0,1272.0,3450.0,1.0,
delta_ev_z|subject_id_sigma,1.191,0.081,1.035,1.35,0.002,0.001,1841.0,1838.0,1862.0,3028.0,1.0,1.0
delta_ev_z|subject_id[0],-0.839,0.306,-1.431,-0.242,0.004,0.003,5225.0,5225.0,5327.0,4686.0,1.0,
delta_ev_z|subject_id[1],-0.284,0.389,-1.047,0.478,0.005,0.004,5377.0,5377.0,5443.0,5872.0,1.0,
delta_ev_z|subject_id[2],-0.265,0.385,-1.045,0.452,0.004,0.004,7568.0,5737.0,7748.0,5390.0,1.0,
delta_ev_z|subject_id[3],-0.179,0.401,-0.935,0.634,0.005,0.004,7200.0,4522.0,7480.0,5612.0,1.0,
delta_ev_z|subject_id[4],-1.016,0.29,-1.579,-0.456,0.004,0.003,4808.0,4808.0,4854.0,6286.0,1.0,
