,wp,eta,v,b_last,noise,loss,lossfun,model,subject_id,alpha,theta,w_between_altwise,w_between_attwise
146,,,5.0062,-0.039,1.1117,344.6748,BIC,TwoStageWithin,6-TwoStageBetween,0.8027,1.0,,
147,0.5942,0.5081,7.9387,0.0413,1.0863,343.3987,BIC,TwoStageBetween,6-TwoStageMixtureNoScaling,,,,
148,0.6654,0.5616,11.9558,0.0319,1.0707,350.6897,BIC,TwoStageMixtureNoScaling,6-TwoStageMixtureNoScaling,4.9999,0.7978,0.5948,0.5255
149,,,6.4799,0.0738,1.0868,343.849,BIC,TwoStageWithin,6-TwoStageMixtureNoScaling,0.7052,1.0,,
150,0.5531,1.0,4.1236,0.0275,1.0694,370.9465,BIC,TwoStageBetween,6-TwoStageWithin,,,,
151,0.681,0.5292,6.4336,0.0306,1.0572,380.5723,BIC,TwoStageMixtureNoScaling,6-TwoStageWithin,0.8654,0.6383,0.3983,0.0
152,,,5.883,0.0437,1.06,363.1855,BIC,TwoStageWithin,6-TwoStageWithin,0.7545,0.7573,,
153,0.7627,0.1532,5.4363,-0.0986,1.3253,269.5288,BIC,TwoStageBetween,7-TwoStageBetween,,,,
154,0.676,1.0,4.6784,-0.0174,1.3305,292.9306,BIC,TwoStageMixtureNoScaling,7-TwoStageBetween,0.1358,0.1418,0.5496,0.0
155,,,4.0644,0.0771,1.3286,271.858,BIC,TwoStageWithin,7-TwoStageBetween,0.1829,0.396,,
156,0.6768,0.1075,4.3017,0.0705,1.4019,270.5696,BIC,TwoStageBetween,7-TwoStageMixtureNoScaling,,,,
157,1.0,0.0,6.3087,0.0298,1.397,286.8136,BIC,TwoStageMixtureNoScaling,7-TwoStageMixtureNoScaling,0.5734,0.0,0.0,0.1726
158,,,6.0487,0.0147,1.3988,268.3434,BIC,TwoStageWithin,7-TwoStageMixtureNoScaling,0.4428,0.0,,
159,1.0,0.0,1.1851,-0.1985,1.3862,273.0136,BIC,TwoStageBetween,7-TwoStageWithin,,,,
160,0.7345,0.0,2.0908,0.0001,1.3851,292.0613,BIC,TwoStageMixtureNoScaling,7-TwoStageWithin,0.0,0.0,0.0,1.0
161,,,1.6453,0.1769,1.3835,271.2056,BIC,TwoStageWithin,7-TwoStageWithin,0.0,0.0,,
162,0.5547,0.3785,14.2282,0.016,1.3368,215.474,BIC,TwoStageBetween,8-TwoStageBetween,,,,
163,0.6231,0.2484,16.7053,0.0048,1.335,234.1189,BIC,TwoStageMixtureNoScaling,8-TwoStageBetween,1.1257,0.4736,0.4516,0.743
164,,,13.3724,-0.0045,1.3429,219.3504,BIC,TwoStageWithin,8-TwoStageBetween,0.7713,0.7006,,
165,0.5808,0.0984,17.6906,0.0154,1.3269,233.6903,BIC,TwoStageBetween,8-TwoStageMixtureNoScaling,,,,
166,0.5638,0.183,16.5066,0.0186,1.3198,248.7431,BIC,TwoStageMixtureNoScaling,8-TwoStageMixtureNoScaling,0.3727,0.0,0.7201,1.0
167,,,11.204,0.0383,1.3403,242.6438,BIC,TwoStageWithin,8-TwoStageMixtureNoScaling,0.6379,0.5529,,
168,0.5361,0.5785,12.261,0.0169,1.3311,211.5941,BIC,TwoStageBetween,8-TwoStageWithin,,,,
169,0.4376,0.1228,21.9825,0.0166,1.3022,214.1881,BIC,TwoStageMixtureNoScaling,8-TwoStageWithin,0.651,0.0,0.5868,0.0
170,,,17.0303,0.0268,1.3147,201.7561,BIC,TwoStageWithin,8-TwoStageWithin,0.8488,0.4341,,
171,0.4683,0.5326,26.4974,0.0225,1.7593,47.6401,BIC,TwoStageBetween,9-TwoStageBetween,,,,
172,0.4541,0.5569,26.5228,0.0139,1.7595,67.508,BIC,TwoStageMixtureNoScaling,9-TwoStageBetween,0.0,0.3818,0.9399,1.0
173,,,23.2152,0.0132,1.7928,63.6362,BIC,TwoStageWithin,9-TwoStageBetween,1.0581,1.0,,
174,0.4948,0.8912,19.589,0.0317,1.7516,56.4269,BIC,TwoStageBetween,9-TwoStageMixtureNoScaling,,,,
175,0.5644,1.0,30.0,0.0106,1.743,72.0951,BIC,TwoStageMixtureNoScaling,9-TwoStageMixtureNoScaling,2.1704,0.2796,0.3508,0.5692
176,,,29.7465,0.0006,1.7626,61.7311,BIC,TwoStageWithin,9-TwoStageMixtureNoScaling,1.1127,0.5717,,
177,0.4675,0.5329,17.6362,0.0149,1.6509,102.2101,BIC,TwoStageBetween,9-TwoStageWithin,,,,
178,0.3504,0.7173,20.522,0.0121,1.6334,113.1351,BIC,TwoStageMixtureNoScaling,9-TwoStageWithin,0.9581,0.8497,0.0,0.4248
179,,,21.9252,0.0079,1.6414,97.4133,BIC,TwoStageWithin,9-TwoStageWithin,1.0765,0.8735,,
