,alpha,theta,v,b_last,noise,loss,lossfun,model,subject_id,wp,eta
177,0.7327,1.0,16.7686,0.0219,1.2887,45.906,BIC,TwoStageWithin,142-alternatives,,
178,,,15.6979,-0.0035,1.1411,34.4199,BIC,TwoStageBetween,142-attributes,0.5658,1.0
179,0.6813,,18.3557,,1.1034,20.0576,BIC,TwoStageWithin,142-attributes,,
180,,,7.3517,,1.0159,123.5139,BIC,TwoStageBetween,143-alternatives,0.4978,
181,0.9443,1.0,8.5298,0.0515,0.979,123.5473,BIC,TwoStageWithin,143-alternatives,,
182,,,6.4607,0.0307,1.0251,123.9472,BIC,TwoStageBetween,143-attributes,0.4843,1.0
183,1.0783,,9.5296,,1.0199,114.2902,BIC,TwoStageWithin,143-attributes,,
184,,,21.0703,,1.8312,50.7757,BIC,TwoStageBetween,144-alternatives,0.4165,
185,1.2146,1.0,28.7193,-0.0051,1.8481,64.2176,BIC,TwoStageWithin,144-alternatives,,
186,,,18.7514,-0.0247,1.8846,78.2993,BIC,TwoStageBetween,144-attributes,0.3831,0.3716
187,1.1557,,29.1504,,1.8452,57.3903,BIC,TwoStageWithin,144-attributes,,
188,,,12.1275,,1.2098,57.5635,BIC,TwoStageBetween,145-alternatives,0.5485,
189,0.7601,1.0,13.6436,0.0321,1.1897,62.2199,BIC,TwoStageWithin,145-alternatives,,
190,,,12.8354,0.0043,1.2395,76.3393,BIC,TwoStageBetween,145-attributes,0.6001,1.0
191,0.5578,,14.591,,1.2133,62.18,BIC,TwoStageWithin,145-attributes,,
192,,,12.2808,,1.0168,48.3114,BIC,TwoStageBetween,146-alternatives,0.6644,
193,0.4717,1.0,13.6261,0.0141,0.9914,52.0029,BIC,TwoStageWithin,146-alternatives,,
194,,,9.6472,0.002,1.2044,82.8632,BIC,TwoStageBetween,146-attributes,0.6637,1.0
195,0.5113,,10.961,,1.2049,74.4815,BIC,TwoStageWithin,146-attributes,,
196,,,13.7324,,1.636,140.784,BIC,TwoStageBetween,147-alternatives,0.6429,
197,0.5328,0.6796,19.2102,0.0045,1.6244,146.4892,BIC,TwoStageWithin,147-alternatives,,
198,,,19.4185,0.0234,1.9512,128.6983,BIC,TwoStageBetween,147-attributes,0.6435,1.0
199,0.5413,,23.1159,,1.9458,119.1796,BIC,TwoStageWithin,147-attributes,,
200,,,14.3595,,1.2802,45.3852,BIC,TwoStageBetween,148-alternatives,0.6472,
201,0.493,1.0,15.1053,0.0155,1.2744,52.7504,BIC,TwoStageWithin,148-alternatives,,
202,,,11.2908,-0.0527,1.3551,47.947,BIC,TwoStageBetween,148-attributes,0.6817,1.0
203,0.3834,,11.9213,,1.3263,34.3282,BIC,TwoStageWithin,148-attributes,,
204,,,8.7611,,1.5084,9.7586,BIC,TwoStageBetween,149-alternatives,1.0,
205,0.0,0.8831,9.5176,0.0233,1.5284,22.5834,BIC,TwoStageWithin,149-alternatives,,
206,,,11.5962,0.0337,1.4027,-22.8988,BIC,TwoStageBetween,149-attributes,1.0,1.0
207,0.0599,,14.5399,,1.4076,-30.5343,BIC,TwoStageWithin,149-attributes,,
208,,,7.9004,,1.4062,127.6997,BIC,TwoStageBetween,150-alternatives,0.4628,
209,1.234,1.0,9.681,0.0557,1.3972,133.2988,BIC,TwoStageWithin,150-alternatives,,
210,,,10.057,0.0232,1.349,161.7106,BIC,TwoStageBetween,150-attributes,0.4678,0.4323
211,1.043,,10.3373,,1.3499,153.5746,BIC,TwoStageWithin,150-attributes,,
212,,,9.5949,,1.1148,64.9406,BIC,TwoStageBetween,151-alternatives,0.6813,
213,0.4756,1.0,10.0857,0.0251,1.1335,77.261,BIC,TwoStageWithin,151-alternatives,,
214,,,12.707,-0.004,1.13,61.7372,BIC,TwoStageBetween,151-attributes,0.6364,0.7244
215,0.5749,,13.6703,,1.0727,43.505,BIC,TwoStageWithin,151-attributes,,
216,,,13.0601,,1.1396,64.6823,BIC,TwoStageBetween,153-alternatives,0.4958,
217,1.0553,1.0,14.2385,0.0171,1.1868,82.6109,BIC,TwoStageWithin,153-alternatives,,
218,,,11.5212,0.0218,1.126,72.3144,BIC,TwoStageBetween,153-attributes,0.4596,1.0
219,1.1202,,16.5087,,1.1426,66.9831,BIC,TwoStageWithin,153-attributes,,
220,,,4.3284,,0.9988,85.4382,BIC,TwoStageBetween,154-alternatives,1.0,
221,0.0,1.0,4.489,0.0735,1.0034,94.8794,BIC,TwoStageWithin,154-alternatives,,
222,,,5.6491,0.0341,0.7504,43.7187,BIC,TwoStageBetween,154-attributes,1.0,0.8293
223,0.0597,,6.1735,,0.8076,45.6392,BIC,TwoStageWithin,154-attributes,,
224,,,9.7868,,1.3233,151.7585,BIC,TwoStageBetween,155-alternatives,0.7235,
225,0.2592,1.0,10.0303,0.0637,1.2528,146.2219,BIC,TwoStageWithin,155-alternatives,,
226,,,10.5448,-0.0121,1.2552,71.8211,BIC,TwoStageBetween,155-attributes,0.7342,0.7298
227,0.1894,,7.6463,,1.2445,61.0799,BIC,TwoStageWithin,155-attributes,,
228,,,7.0198,,0.8939,149.8368,BIC,TwoStageBetween,156-alternatives,0.5179,
229,0.9287,0.9494,8.5743,0.0298,0.8906,157.3501,BIC,TwoStageWithin,156-alternatives,,
230,,,11.0085,0.006,0.8173,132.8637,BIC,TwoStageBetween,156-attributes,0.6087,0.5239
231,0.5782,,9.3352,,0.8153,123.7859,BIC,TwoStageWithin,156-attributes,,
232,,,8.4762,,0.8619,-34.7115,BIC,TwoStageBetween,157-alternatives,1.0,
233,0.0,1.0,8.9916,0.0387,0.9035,-19.1645,BIC,TwoStageWithin,157-alternatives,,
234,,,7.4027,0.0094,0.9418,-3.6081,BIC,TwoStageBetween,157-attributes,1.0,1.0
235,0.0,,8.3618,,0.9309,-13.9961,BIC,TwoStageWithin,157-attributes,,
236,,,8.574,,1.0083,107.1941,BIC,TwoStageBetween,159-alternatives,0.5018,
237,0.8456,0.7655,11.3543,0.0248,0.9977,113.4439,BIC,TwoStageWithin,159-alternatives,,
238,,,8.3175,0.0018,1.0172,119.2992,BIC,TwoStageBetween,159-attributes,0.5038,1.0
239,0.9468,,10.4984,,1.0173,110.854,BIC,TwoStageWithin,159-attributes,,
240,,,16.1703,,1.4367,64.4014,BIC,TwoStageBetween,16-alternatives,0.6159,
241,0.5385,0.724,17.5974,0.0253,1.4381,73.2702,BIC,TwoStageWithin,16-alternatives,,
242,,,22.3776,0.0032,1.5345,64.7251,BIC,TwoStageBetween,16-attributes,0.6363,0.444
243,0.5494,,18.6124,,1.5314,55.4602,BIC,TwoStageWithin,16-attributes,,
244,,,9.4674,,1.087,92.7028,BIC,TwoStageBetween,160-alternatives,0.5314,
245,0.9721,1.0,12.61,0.0314,1.0543,94.2003,BIC,TwoStageWithin,160-alternatives,,
246,,,8.223,0.0428,1.0487,115.6784,BIC,TwoStageBetween,160-attributes,0.592,0.8933
247,0.6275,,9.2147,,1.0749,113.649,BIC,TwoStageWithin,160-attributes,,
248,,,16.0317,,1.4879,67.3973,BIC,TwoStageBetween,161-alternatives,0.6925,
249,0.397,1.0,17.3099,0.0183,1.4785,73.3353,BIC,TwoStageWithin,161-alternatives,,
250,,,20.3671,-0.0006,1.2965,62.4405,BIC,TwoStageBetween,161-attributes,0.6336,1.0
251,0.528,,20.274,,1.3177,59.2426,BIC,TwoStageWithin,161-attributes,,
252,,,13.3011,,1.3742,59.9088,BIC,TwoStageBetween,162-alternatives,0.4885,
253,0.9423,1.0,15.8455,0.0136,1.386,70.8187,BIC,TwoStageWithin,162-alternatives,,
254,,,18.8975,0.0015,1.2232,65.3292,BIC,TwoStageBetween,162-attributes,0.4437,0.2427
255,1.1782,,16.9835,,1.2363,59.4988,BIC,TwoStageWithin,162-attributes,,
256,,,6.8164,,1.0786,119.056,BIC,TwoStageBetween,163-alternatives,0.4871,
257,1.0837,1.0,7.508,0.0129,1.1004,132.7122,BIC,TwoStageWithin,163-alternatives,,
258,,,7.12,-0.0369,1.184,137.1932,BIC,TwoStageBetween,163-attributes,0.5721,0.0
259,5.0,,4.8443,,1.2069,134.6827,BIC,TwoStageWithin,163-attributes,,
260,,,16.9301,,1.7768,72.5484,BIC,TwoStageBetween,164-alternatives,0.6055,
261,0.6104,1.0,20.1208,-0.019,1.7701,79.2484,BIC,TwoStageWithin,164-alternatives,,
262,,,15.795,-0.0125,1.705,118.0066,BIC,TwoStageBetween,164-attributes,0.5788,1.0
263,0.7208,,20.138,,1.6925,105.5534,BIC,TwoStageWithin,164-attributes,,
264,,,13.4956,,1.1837,39.213,BIC,TwoStageBetween,166-alternatives,0.3604,
265,2.0625,0.8756,23.2868,0.0211,1.1877,48.5092,BIC,TwoStageWithin,166-alternatives,,
266,,,14.3681,0.0223,1.2047,51.6717,BIC,TwoStageBetween,166-attributes,0.3456,0.5046
267,1.8971,,18.278,,1.2474,52.1307,BIC,TwoStageWithin,166-attributes,,
268,,,4.372,,0.71,240.2465,BIC,TwoStageBetween,167-alternatives,0.4794,
269,1.1318,0.7493,7.0797,-0.0063,0.7142,249.0758,BIC,TwoStageWithin,167-alternatives,,
